0.0000,
11058,0.0000,
11059,0.0000,
11060,0.0000,
11061,0.0000,
11063,0.0000,
11064,0.0000,
11065,0.0000,
11066,0.0000,
11068,0.0000,
11069,0.0000,
11070,0.0000,
11071,0.0000,
11073,0.0000,
11074,0.0000,
11075,0.0000,
11076,0.0000,
11078,0.0000,
11079,0.0000,
11080,0.0000,
11081,0.0000,
11083,0.0000,
11084,0.0000,
11085,0.0000,
11086,0.0000,
11088,0.0000,
11089,0.0000,
11090,0.0000,
11091,0.0000,
11094,0.0000,
11095,0.0000,
11096,0.0000,
11097,0.0000,
11099,0.0000,
11100,0.0000,
11101,0.0000,
11102,0.0000,
11104,0.0000,
11105,0.0000,
11106,0.0000,
11107,0.0000,
11109,0.0000,
11110,0.0000,
11111,0.0000,
11112,0.0000,
11114,0.0000,
11115,0.0000,
11116,0.0000,
11117,0.0000,
11118,0.0000,
11120,0.0000,
11121,0.0000,
11122,0.0000,
11123,0.0000,
11125,0.0000,
11126,0.0000,
11127,0.0000,
11128,0.0000,
11130,0.0000,
11131,0.0000,
11132,0.0000,
11133,0.0000,
11136,0.0000,
11137,0.0000,
11138,0.0000,
11139,0.0000,
11141,0.0000,
11142,0.0000,
11143,0.0000,
11144,0.0000,
11146,0.0000,
11147,0.0000,
11148,0.0000,
11149,0.0000,
11151,0.0000,
11152,0.0000,
11153,0.0000,
11154,0.0000,
11156,0.0000,
11157,0.0000,
11158,0.0000,
11159,0.0000,
11161,0.0000,
11162,0.0000,
11163,0.0000,
11164,0.0000,
11166,0.0000,
11167,0.0000,
11168,0.0000,
11169,0.0000,
11171,0.0000,
11172,0.0000,
11173,0.0000,
11174,0.0000,
11176,0.0000,
11177,0.0000,
11179,0.0000,
11180,0.0000,
11182,0.0000,
11183,0.0000,
11184,0.0000,
11185,0.0000,
11186,0.0000,
11188,0.0000,
11189,0.0000,
11190,0.0000,
11191,0.0000,
11193,0.0000,
11194,0.0000,
11195,0.0000,
11196,0.0000,
11198,0.0000,
11199,0.0000,
11200,0.0000,
11201,0.0000,
11203,0.0000,
11204,0.0000,
11205,0.0000,
11206,0.0000,
11208,0.0000,
11209,0.0000,
11210,0.0000,
11211,0.0000,
11213,0.0000,
11214,0.0000,
11215,0.0000,
11216,0.0000,
11218,0.0000,
11219,0.0000,
11220,0.0000,
11222,0.0000,
11224,0.0000,
11225,0.0000,
11226,0.0000,
11227,0.0000,
11229,0.0000,
11230,0.0000,
11231,0.0000,
11232,0.0000,
11234,0.0000,
11235,0.0000,
11236,0.0000,
11237,0.0000,
11239,0.0000,
11240,0.0000,
11241,0.0000,
11242,0.0000,
11244,0.0000,
11245,0.0000,
11246,0.0000,
11247,0.0000,
11248,0.0000,
11250,0.0000,
11251,0.0000,
11252,0.0000,
11253,0.0000,
11255,0.0000,
11256,0.0000,
11257,0.0000,
11258,0.0000,
11260,0.0000,
11261,0.0000,
11262,0.0000,
11264,0.0000,
11266,0.0000,
11267,0.0000,
11268,0.0000,
11269,0.0000,
11271,0.0000,
11272,0.0000,
11273,0.0000,
11274,0.0000,
11276,0.0000,
11277,0.0000,
11278,0.0000,
11279,0.0000,
11281,0.0000,
11282,0.0000,
11283,0.0000,
11284,0.0000,
11286,0.0000,
11287,0.0000,
11288,0.0000,
11289,0.0000,
11291,0.0000,
11292,0.0000,
11293,0.0000,
11294,0.0000,
11296,0.0000,
11297,0.0000,
11298,0.0000,
11299,0.0000,
11301,0.0000,
11302,0.0000,
11303,0.0000,
11304,0.0000,
11307,0.0000,
11308,0.0000,
11309,0.0000,
11310,0.0000,
11312,0.0000,
